year,intIoPer1000InPop,intOiPer1000OutPop
1983,1.595182997,3.622940734
1984,2.753710793,4.540423321
1985,2.507612395,3.739782779
1986,2.913585697,6.092866727
1987,2.74885825,23.87964149
1988,1.984797297,11.32488789
1989,2.877937895,8.134224904
1990,2.552911142,5.735852275
1991,2.270398425,5.136397646
1992,2.813192075,5.141025383
1993,2.744865719,3.979465956
1994,2.693549345,7.304012285
1995,1.718179125,8.365823554
1996,2.361482465,9.001335682
1997,,
1998,3.444162241,4.741673621
1999,4.439916968,6.223833732
2000,3.467698674,6.548037438
2001,3.408768109,6.149767082
2002,3.820960699,8.888969679
2003,4.082397004,6.895185972
2004,4.854003612,6.601366661
2005,3.333333333,5.468167454
2006,4.647442002,5.68924697
2007,3.41926313,4.062599357
2008,3.496231839,4.484304933
2009,3.477416221,4.865924526
2010,2.864941249,4.670310662
2011,2.930218117,3.398529616
2012,2.283016678,3.563335697
2013,2.415458937,3.454617328
2014,1.782565361,4.416295789
